conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
11342,India,Government of India,141,,GNLA,1163,,1,Garoland,2012,1,0,3,29/05/1997,1,15/11/2012,1,1,21/12/2012,,750,,,,750,3,25.1
11342,India,Government of India,141,,GNLA,1163,,1,Garoland,2014,1,0,3,29/05/1997,1,01/07/2014,1,1,27/11/2014,,750,,,,750,3,25.1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1967,2,1,2,05/06/1967,1,05/06/1967,1,1,10/06/1967,,651,,666,,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1969,1,1,2,05/06/1967,1,06/03/1969,1,0,,,651,,666,,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1970,1,1,2,05/06/1967,1,06/03/1969,1,1,07/08/1970,,651,,666,,"651, 666",2,25.1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1973,2,1,2,05/06/1967,1,06/10/1973,1,1,24/10/1973,,651,,666,,"651, 666",2,25.1
11344,Sudan,Government of Sudan,112,,Republic of South Sudan,1129,,1,Abyei,2011,1,0,3,01/05/2011,1,19/05/2011,1,1,15/06/2011,,625,,,,625,4,25.1
11345,South Sudan,Government of South Sudan,113,,"SSDM/A, SSLM/A","1108, 1124",,2,,2011,1,0,3,20/08/2011,2,20/08/2011,2,0,,,626,,,,626,4,25.1
11345,South Sudan,Government of South Sudan,113,,SSLM/A,1124,,2,,2012,1,0,3,20/08/2011,2,20/08/2011,2,0,,,626,,,,626,4,25.1
11345,South Sudan,Government of South Sudan,113,,"SPLM/A - IO, SSDM/A - Cobra Faction","3563, 4226",,2,,2013,1,1,3,20/08/2011,2,20/08/2011,2,0,,,626,,,,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2014,2,1,4,20/08/2011,2,20/08/2011,2,0,,,626,500,,,626,4,25.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2015,1,1,4,20/08/2011,2,20/08/2011,2,0,,,626,500,,,626,4,25.1
11345,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2016,1,1,3,20/08/2011,2,20/08/2011,2,0,,,626,,,,626,4,25.1
